id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;viewport
ChIJwYYD_POOpJIRm3jDnlQMoJE;Belém/PA;Pará State Museum;Praça Dom Pedro II, s/n - Cidade Velha, Belém;False;OPERATIONAL;-1.4560179;-48.5031249;['Monday: Closed', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20095:00\u202fPM'];{'northeast': {'lat': -1.454550870107278, 'lng': -48.50174222010728}, 'southwest': {'lat': -1.457250529892722, 'lng': -48.50444187989272}}
ChIJzV-hZiiMpJIRdeyWE5Yp2v8;Belém/PA;Zoobotanical Park - Emílio Goeldi Museum;Av. Gov Magalhães Barata, 376 - São Braz, Belém;False;OPERATIONAL;-1.4522044;-48.4773894;['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20091:00\u202fPM'];{'northeast': {'lat': -1.451392070107278, 'lng': -48.47481765}, 'southwest': {'lat': -1.454091729892722, 'lng': -48.47824665}}
ChIJ9yH2CBiNpJIRk6jRxnmQjH4;Belém/PA;Centro de Exposições Eduardo Galvão;Av. Alcindo Cacela, 2026 - Nazaré, Belém;False;OPERATIONAL;-1.4531847;-48.47706489999999;['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20094:00\u202fPM'];{'northeast': {'lat': -1.451848520107278, 'lng': -48.47592912010727}, 'southwest': {'lat': -1.454548179892722, 'lng': -48.47862877989272}}
ChIJkVmdYPGOpJIRqurlCjewlJk;Belém/PA;Instituto Histórico e Geográfico do Pará;Rua D'Aveiro Cidade-irmã,, nº 62 - Cidade Velha, Belém;False;OPERATIONAL;-1.4555057;-48.50395719999999;['Monday: Closed', 'Tuesday: 9:00\u202fAM\u2009–\u20094:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20094:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20094:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -1.454131220107278, 'lng': -48.50257007010728}, 'southwest': {'lat': -1.456830879892722, 'lng': -48.50526972989272}}
ChIJ-7ckuPOOpJIRstMWqzcimsI;Belém/PA;Círio Museum;R. Padre Champagnat, s/n - Cidade Velha, Belém;False;OPERATIONAL;-1.4546826;-48.50397;['Monday: Closed', 'Tuesday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20092:00\u202fPM'];{'northeast': {'lat': -1.453368670107278, 'lng': -48.50258747010727}, 'southwest': {'lat': -1.456068329892722, 'lng': -48.50528712989271}}
ChIJ3wpbfQCNpJIRUqZhkvYv8LA;Belém/PA;Museu Goeldi;Rod. Br 316, 370 - Nazaré, Belém;False;OPERATIONAL;-1.4520119;-48.4765051;[];{'northeast': {'lat': -1.450606120107278, 'lng': -48.47515847010729}, 'southwest': {'lat': -1.453305779892722, 'lng': -48.47785812989273}}
ChIJB-O4bfGOpJIRY_eVX_gnpFE;Belém/PA;St. Alexander Church - Museum of Sacred Art;Praça Frei Brandão, s/n - Cidade Velha, Belém;False;OPERATIONAL;-1.4550609;-48.5046006;['Monday: Closed', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20095:00\u202fPM'];{'northeast': {'lat': -1.453740620107278, 'lng': -48.50326362010728}, 'southwest': {'lat': -1.456440279892722, 'lng': -48.50596327989273}}
ChIJCVPyBQCNpJIRmDlU4xdFIFY;Belém/PA;Parque Zoobotânico do Museu Goeldi - Entrada de servidores;Tv. Nove de Janeiro, 1830 - São Brás, Belém;False;OPERATIONAL;-1.4532614;-48.4758063;[];{'northeast': {'lat': -1.451908470107278, 'lng': -48.47437632010727}, 'southwest': {'lat': -1.454608129892722, 'lng': -48.47707597989272}}
ChIJ1fgyofGOpJIR7aCIcx8HGv8;Belém/PA;Presépio Fort;Praça Dom Frei Caetano Brandão, s/n - Cidade Velha, Belém;False;OPERATIONAL;-1.4543647;-48.5052375;['Monday: Closed', 'Tuesday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20095:00\u202fPM'];{'northeast': {'lat': -1.453352820107278, 'lng': -48.50369762010728}, 'southwest': {'lat': -1.456052479892722, 'lng': -48.50639727989272}}
ChIJr6AQB_GOpJIRoJQewVsaxKU;Belém/PA;Feliz Lusitânia-Complex;R. Siqueira Mendes, 2-240 - Cidade Velha, Belém;False;OPERATIONAL;-1.4547032;-48.5057245;['Monday: Closed', 'Tuesday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u200910:00\u202fPM'];{'northeast': {'lat': -1.453525270107278, 'lng': -48.50429492010728}, 'southwest': {'lat': -1.456224929892722, 'lng': -48.50699457989273}}
