id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;viewport
ChIJBXSv-T7hYY0R82GA1sIebXE;Macapá/AP;Bellemare;Av. dos Goitacazes - Beirol, Macapá;False;CLOSED_PERMANENTLY;0.0159448;-51.0624095;"[""Não disponível""]";{'northeast': {'lat': 0.01735742989272221, 'lng': -51.06105297010728}, 'southwest': {'lat': 0.01465777010727778, 'lng': -51.06375262989273}}
ChIJx0VmdqrhYY0R9Uqf0dypsbU;Macapá/AP;Cine Imperator 3D;Av. Felíciano Coelho, 424 - Trem, Macapá;False;OPERATIONAL;0.0290737;-51.0575734;"[""Monday: 2:00 – 22:00"", ""Tuesday: 2:00 – 22:00"", ""Wednesday: 2:00 – 22:00"", ""Thursday: 2:00 – 22:00"", ""Friday: 2:00 – 22:00"", ""Saturday: 2:00 – 22:00"", ""Sunday: 2:00 – 22:00""]";{'northeast': {'lat': 0.03038367989272222, 'lng': -51.05622657010728}, 'southwest': {'lat': 0.02768402010727779, 'lng': -51.05892622989272}}
ChIJjcTkSwbhYY0RRH0cfOKJ9pA;Macapá/AP;Moviecom;R. Leopoldo Machado, 2334 - Trem, Macapá;False;OPERATIONAL;0.031052;-51.06292;"[""Monday: 2:00 – 23:00"", ""Tuesday: 2:00 – 23:00"", ""Wednesday: 2:00 – 23:00"", ""Thursday: 2:00 – 23:00"", ""Friday: 2:00 – 23:00"", ""Saturday: 2:00 – 23:00"", ""Sunday: 2:00 – 23:00""]";{'northeast': {'lat': 0.03258537989272222, 'lng': -51.06138057010727}, 'southwest': {'lat': 0.02988572010727779, 'lng': -51.06408022989272}}
ChIJWflWFavhYY0RNAsSaiS6mlw;Macapá/AP;Movieland;Av. Presidente Getúlio Vargas, 341 Villa Nova Shopping - Térreo - Central, Macapá;False;OPERATIONAL;0.0373772;-51.052049;"[""Não disponível""]";{'northeast': {'lat': 0.03871962989272221, 'lng': -51.05056162010728}, 'southwest': {'lat': 0.03601997010727779, 'lng': -51.05326127989272}}
